"","None_1","None_2","Basal_Normal","LumA_LumB","Basal"
"FOXC1",0.0072161259935609,0.049850216851251,0.00425222722521076,9.71473396119021e-05,0.0298939767890167
"ATP9A",0.0542095889422482,0.00251072478199176,0.0438841551355373,0.0364136632418416,0.0219127206924492
"CHRDL2",8.81902472553695e-05,0.00105881068404117,0.00324914682029554,0.000190591953594805,0.0103630323135294
"FAM168A",0.104735494693913,0.123892017553898,0.0353057163031415,0.0401062157039427,0.0406272306818678
"NOP58",0.226568580200784,0.0247334312494352,0.0667601006547829,0.0771911677846653,0.153023967596652
"CUL1",0.336497061126972,0.0167480430706854,0.147140939527458,0.0643845162768136,0.0829168166330651
"TAB2",0.0920771714526144,0.109619132529753,0.0116243820216083,0.180058329319501,0.231123708445925
"GINM1",0.332708600882464,0.0627452572433347,0.0156453981257396,0.0573513072295138,0.104741389824256
"EIF2AK2",0.0945693582593289,0.108149940125445,0.0933275194211125,0.0461774872331448,0.0186152820260984
"PUM2",0.264203341532364,0.0858694781614312,0.0996853435184053,0.153440212882912,0.204025505774316
"ZFR",0.0755043457902158,0.190809455028317,0.290901861267978,0.192090064044614,0.00619724011931008
"IL17RB",0.0803616009742397,0.0198785721791133,0.0105822099452667,0.0783391744047557,0.0226973527525316
"GYG2",0.0805327302304275,0.0625820600975602,0.0522306451062826,0.00198355385806252,0.0336551122422913
"SOAT1",0.00236897316941846,0.0475216424948981,0.00757666413132483,0.00105472757894161,0.0325831172165115
"GDI2",0.125250743359471,0.121911626274195,0.0387605019499748,0.0268885217600958,0.174626241634685
"ATG5",0.0354629432478337,0.00203461755828424,0.025438977623508,0.0314119147444675,0.0216129153445256
"PITHD1",0.270977667061367,0.4487161736229,0.0206923698510105,0.0329391680003031,0.0640237537795633
"ATP11B",0.0124461266978258,0.027416004355138,0.0131508096511839,0.00763360910886698,0.0404233089026712
"LAMC2",0.00109430340337027,0.0401605867732869,0.0263501796784031,0.00405087870112078,0.00606781685859093
"SEC61A1",0.167412833354664,0.0052072192017284,0.13392631890952,0.0484322312411393,0.0737239710343816
"ATP2B4",0.108286866027959,0.124038093929902,0.0195498543227254,0.164981751729952,0.130252865341053
"YIPF1",0.0142554445758232,0.150186787759775,0.145460606559176,0.0273695133629865,0.0683090147047288
"NDC1",0.0374726769540832,0.0467031736004156,0.0203763878221791,0.0183159766180551,0.0885852567842112
"ALDH18A1",0.108723523433097,0.0537989571075969,0.142708600275278,0.0822371814931485,0.0151197252981782
"YBX3",0.00253729993832881,0.0305355418941432,0.0232227577039493,0.000218314908039216,0.0978592208324244
"WNK1",0.105778189633275,0.114250912643201,0.068769467529098,0.0335446416966996,0.14247126897868
"OGFR",0.140587767791598,0.079368146265828,0.137345576975996,0.00787915805322077,0.0962882068566995
"PTPRU",0.00268508717540481,0.090579208099443,0.0942683823513958,0.000343334004031774,0.10505619586461
"COL11A1",0.076400820968763,0.0291388646408757,0.00538905700687919,0.0624841696760399,0.0464958881194039
"MPC1",0.062886233520497,0.22096909657663,0.105747915923506,0.0875282654912528,0.0658297765652661
"MRPS35",0.0823428944027089,0.00646948062612969,0.0939937138620018,0.096552673067274,0.0382838415048511
"CDH3",0.0235064512514511,0.000197392870176274,0.0296898684267763,0.000637764815264882,0.117239628950789
"GPBP1",0.294285158227101,0.139044869063596,0.16068082501664,0.312565664840353,0.042348750244675
"DGAT2",0.0171055738754376,0.0146811978291195,0.0111789889269021,0.00184804251713779,0.00473553863860768
"CS",0.120823463632452,0.0363005973853789,0.152850997610518,0.261558963531551,0.193061331934505
"VMP1",0.00638398900401288,0.0301754997603828,0.0557752541623729,0.0902849957196357,0.00510061765630932
"APPBP2",0.00133011824405291,0.0191055331949287,0.0641780983036349,0.0591663276859863,0.0523800726453813
"EIF4B",0.16728753808358,0.0497127155825489,0.193743551455149,0.13028641883093,0.166191809392586
"RPL18",0.107040010035317,0.0782912725243182,0.0738153850218246,0.0449679465588816,0.160824109346902
"ISOC2",0.0395012806222491,0.0320796907766203,0.019390108598352,0.00442757479419028,0.0836478569848017
"U2AF2",0.102706467114108,0.00197430093380591,0.0167414505104801,0.101458814932187,0.0761486831215538
"MED29",0.0743195899690167,0.0711040270056412,0.11398610313448,0.0405250029669196,0.13338283956506
"GPC1",0.0471009072423614,0.0357941943587642,0.0235387058277967,0.0113657598060791,0.0447905281553602
"LIMCH1",0.118555998251383,0.127783666074174,0.0064237382126789,0.0487720426266884,0.0849627671312074
"INTS13",0.04457688007066,0.0243891993795756,0.027498742716349,0.000586171320557858,0.158933743386578
"TM7SF3",0.0038867220386024,0.0762524715671642,0.0701010942761207,0.0214847986437034,0.167015936310363
"CCN5",0.0226855071645247,0.0228655952692611,0.00461443411604599,0.0384721567460053,0.0150221873860176
"NGFR",0.0361223996641505,0.00334664558409624,0.0225294169821211,0.0194211011018743,0.0473613394688154
"TNPO3",0.0803446148261458,0.0825872129796435,0.0738604053893937,0.0453133519856378,0.022087295546539
"SLC12A2",0.0277904920408536,0.0099554595048998,0.0223879851423657,0.0423053384419354,0.00601419778070392
"EYA2",0.0546194745586685,0.0288276052289513,0.0472780112054121,0.00427117413985494,0.0788187961825139
"CNN2",0.202779264497607,0.225794810062509,0.103942435184804,0.00974640047961506,0.229431096195336
"BTBD1",0.00739437768599586,0.109070076564884,0.0515715878429946,0.0659365074609339,0.147069645659986
"BCAS1",0.05434444398155,0.0178740949054482,0.0302252465312442,0.038984860895032,0.00740804373200895
"CHI3L2",0.00415576438171504,0.011193922744422,0.00473017732566054,0.000222489076370704,0.0343054029553613
"SBNO2",0.0600979112187915,0.167698975528935,0.0520164397593516,0.0825063001355085,0.195269806032395
"HMG20B",0.146726459992996,0.03128208230788,0.146349549870974,0.0757604030672437,0.0774859629812677
"AP3D1",0.424916225768252,0.150929278004805,0.136200745459211,0.128408613787145,0.0138090492966107
"NHERF2",0.0564788651027072,0.0773632996491561,0.0536064390187557,0.00928648743071031,0.0366690172174408
"IPO5",0.0117821734103707,0.0381083640014863,0.000184686134784372,0.0363441879580833,0.185287055672082
"OAT",0.0370321268416059,0.141648954986233,0.0964384889377208,0.118060517955042,0.118598320926921
"WDR18",0.20043872122488,0.179849534430866,0.111712288206763,0.0152675400744932,0.0414369567696156
"ERBB3",0.146580749718051,0.096156889382831,0.119892309593177,0.281792445437374,0.0463506046744145
"KARS1",0.0183980336231633,0.154652721527344,0.0713053667619242,0.0257990959083253,0.206583761300852
"NDUFB4",0.113269315478654,0.0289978707876165,0.183171249594764,0.238516519330665,0.19090444403273
"MYLK",0.0116411294944672,0.0266627891043169,0.0659273292265319,0.00940422303655616,0.0582187519006475
"ZC3H15",0.170660055682293,0.12688561648709,0.157966578070728,0.11045882414962,0.12538698874559
"COL17A1",0.0114372619462578,0.00423067456246202,0.0208169573000844,0.00930652950505224,0.00561027200955415
"TLE2",0.157022725385406,0.011274853397019,0.0578578931383802,0.0677479764636227,0.128080009954839
"FAM107B",0.0359372888459168,0.0138515478632393,0.0318480532541225,0.0260075281676426,0.0154540213207161
"ME1",0.0444095680873879,0.00264102709963129,0.0121547736353947,0.0138493705480201,0.0377894829429507
"YBX1",0.00728109391054751,0.0247573366134922,0.00333948927912095,0.0014348380517658,0.0975924061494434
"PPP2R5A",0.0150712405031331,0.0382063087584681,0.129434947994995,0.248271765566106,0.0509548614506778
"ELOVL1",0.0924491289679876,0.137522702633402,0.0166818191267865,0.0386771876408385,0.269240611989173
