"","LumA_1","Normal","Basal","LumB","LumA_2"
"RFC2",0.242708288420814,0.0317771610773175,2.11299681095543,0.55584946363527,0.159643156028446
"CLPTM1L",0.266121058397974,0.0358973498522582,0.878642566888519,0.297006760262888,0.193167645009977
"HEXB",1.09439665360167,0.293454111011799,1.08963723931856,1.24676580519299,1.19866423499284
"LIMA1",0.38670341632365,0.095032550161044,0.0490144451851448,0.660994013053465,2.93493855087502
"HERPUD1",0.420168367508375,0.352832022728224,0.840342958256592,0.708101798932892,0.822635755194464
"CYBA",0.248800686357982,0.204299051545043,1.53982945008158,6.67953677870728e-05,0.0066374362315773
"PRSS8",1.29323899218232,0.00241065192977997,0.520047243200816,0.291451420971357,0.0585375019298064
"MSMO1",0.276907686819742,0.0121106574016925,0.472403390916171,0.643148310809806,0.292426852230984
"AKR7A2",2.85793954189928,0.394328131965446,0.566771569830083,0.388531604613185,0.0660012188363863
"MRTO4",0.449399613970124,0.265417665170621,1.70094691414703,0.504122047993848,0.0906322545181396
"NNAT",1.39043032421791e-07,0.29467881041938,6.35085828156196e-14,7.82036547081195e-07,0.000624051859329705
"LAMA3",0.243880737497203,0.588643370493178,1.87594048951027e-06,0.158307242985386,0.286066596458609
"THRAP3",1.50729110986138,0.278214461195673,0.679537089268492,2.56670470395236,1.14532621777356
"PHPT1",2.73894149953973,0.136848325028807,1.35166303122954,0.000300535138208235,0.0324411472291171
"ENTPD2",0.182513875528354,0.0891425387647408,0.455318641049507,0.212196736659235,0.0142666043854091
"FOXC1",2.64346331180353e-20,0.131292205119125,0.75911542721282,0.00191840046393251,4.29996925731263e-16
"ATP9A",0.197866109764214,0.00268782466726388,0.0534673758428054,0.563019350418194,0.208931109048399
"CHRDL2",0.0211375059720702,0.00672225492906105,0.0481671532405019,0.0492438263819047,0.0160664777625944
"FAM168A",0.375296099971057,0.304741046718237,0.145285482581831,1.04481472912479,0.277388870390831
"NOP58",0.0778166307288136,0.0736260854876353,1.58405802775437,1.79688980784058,0.0465247732927998
"CUL1",0.396196379843484,0.410252895929869,1.32493203431096,1.71499506095869,0.301520699821225
"TAB2",0.134254758207657,0.432432704651941,0.173068034948229,2.50978738339684,0.554634002116575
"GINM1",0.619390527329358,0.52287424023801,0.242178138471568,1.12419684138179,1.04342323827552
"EIF2AK2",0.12006106727788,0.0311950214153887,0.355341446920537,1.65481738885112,0.042892226608287
"PUM2",0.697709659232053,0.273244624748687,0.280276805542519,3.06565926292643,0.644202583814081
"ZFR",0.161051633823333,0.555799937849468,0.40164228895404,3.58143509218451,0.0133010749879864
"IL17RB",0.748617405411316,0.109489393491139,0.162701577379299,0.435059409449547,0.0600179531360621
"GYG2",2.2082814144717e-13,0.7166734924176,4.79752061453927e-18,4.43062379837735e-10,3.38249012953334e-05
"SOAT1",0.00318164431701535,0.0313541033499952,0.210536310950985,0.340285466125239,0.0235298957301475
"GDI2",0.0352468968000691,0.156611643740195,1.26813830935894,1.61292759787196,0.0795849266724554
"ATG5",0.0536472055407581,0.0148309769927486,0.242294541522305,0.400082282692402,0.0504589315783568
"PITHD1",1.30873557325751,0.873077113862512,2.15224428224552,1.25769577336065,0.110951596231411
"ATP11B",0.000350579587640238,0.127790696369838,0.0787668844309064,0.466101557431031,0.0168669856299268
