"","Basal","none","LumA_Normal","Her2","LumB"
"ATP6V1H",0.0370083435677388,0.0692408022371396,0.00185963243101486,0.100429713644577,0.206612197401716
"POLR2B",0.16827341109404,0.0212536084572359,0.0536412950285317,0.139431062402613,0.0012586693051243
"ATOSA",0.0168886135185238,0.284251870224796,0.0144826948623837,0.119788867743869,0.0256904607891077
"TPR",0.129773220408754,0.0940478963914906,0.129810021747948,0.389433748230534,0.147514124824839
"CP",0.0404152874956636,0.00109481980458374,0.000273507952380636,0.00318382438483977,0.0291169837540462
"MAP4",0.0207477883914119,0.160513244085895,0.320388475151448,0.160584292636556,0.449277834442806
"RRM2B",0.076490290756202,0.0895723591985115,0.0486413877013089,0.0543886474815147,0.0728528883804381
"MRPS10",0.159660514171149,0.00245768567602859,0.0086222667385007,0.0373070617344586,0.0776218346597628
"RSF1",0.04731028903769,0.0393621577771818,0.000917669768009324,0.0517303414289349,0.0267590054758598
"FAM120A",0.129270687224615,0.0652439550666413,0.186363283166851,0.523100913408966,0.182823030050859
"COL9A2",0.0907613463283214,0.0125554307787063,0.0250813946850402,0.00787559229797141,0.03426308556521
"KITLG",0.00324678240463333,0.0294576522682907,0.00866925137837355,0.117509696043623,0.0301025803355948
"H6PD",0.139585601048617,0.174154286952244,0.304789891646509,0.105318530821524,0.115492441316923
"VAMP3",0.334252782511728,0.159971770580042,0.0349289299203612,0.348829994737041,0.293062965111107
"EPN3",0.00530773407801857,0.00497349843623567,0.0126071123986221,0.00864744335736691,0.139568157734357
"LTBP1",0.246989100531088,0.00737104625015831,0.00826805092073204,0.0178290915876267,0.0146640114177422
"RCN1",0.163287783241758,0.0103617612522091,0.06398875185391,0.0373479478878908,0.148649850275866
"ELN",0.104199661586167,0.0274644140125039,0.0250619045867235,0.00239734644858846,0.00380242422830466
"RFC2",0.280340497142764,0.0269817662154653,0.0301632199285271,0.0102750406195597,0.202484814685147
"CLPTM1L",0.168627343092881,0.00787112831963504,0.0238062111603266,0.0161672407031293,0.0799211045227759
"HEXB",0.107602794046693,0.172902301974014,0.165903985797883,0.254813052857184,0.218329146029002
"LIMA1",0.0178426967962672,0.0183401536159419,0.237850511783453,0.295287029105941,0.274585065799729
"HERPUD1",0.135586868497265,0.0973936061875687,0.0138231087050179,0.121693095728707,0.222053607787348
"CYBA",0.228676549014805,0.000390146402190182,0.0578180584884347,0.0294368241931633,0.019891684753685
"PRSS8",0.044491585300896,0.0784420223018765,0.0309637952918819,0.154690281544076,0.057067696449684
"MSMO1",0.0522199467807116,0.0391976716697563,0.0225114711369946,0.15113467034262,0.137228695840326
"AKR7A2",0.0780548009005989,0.281935992267067,0.00983074520187545,0.318320194484093,0.0186588756290531
"MRTO4",0.357417669077684,0.00496267833316099,0.0155187773783217,0.0836077024120395,0.0664476683094097
"NNAT",0.00697104713292278,0.023889168075938,0.0607452797652699,0.0166844489346166,0.000879197189863022
"LAMA3",0.0153913310456377,0.0386294014859599,0.0706764123812,0.0654350100041357,0.00970408309129195
"THRAP3",0.192503841901445,0.0181478470440188,0.230250939023285,0.434829343709431,0.281838955881102
"PHPT1",0.0463914966187408,0.306664714084459,0.036626623219374,0.0866910314558073,0.200129227683976
"ENTPD2",0.0892735107217119,0.00244752334828382,0.00913456683724873,0.0522284309874054,0.0137237103084251
"FOXC1",0.130240093463242,1.45099912895011e-06,3.72038190738719e-06,1.49518309846865e-06,0.00010836008633557
"ATP9A",0.0405984224738222,0.00327763998876991,0.0491232251441925,0.0635016959686877,0.0385071849426764
"CHRDL2",0.000743689561926653,0.00185621918101802,0.00623262319336119,0.00111888268933588,0.0147687259434251
"FAM168A",0.134121266769239,0.142026992022339,0.0417023903950497,0.0503120093750159,0.0492257409148859
"NOP58",0.431469470918373,0.00613690912154025,0.0183997984031131,0.0884627854439304,0.12932170618116
"CUL1",0.545434129250301,0.00725901326636155,0.0724736724952256,0.0808236368887814,0.0788298107941793
"TAB2",0.112214066599812,0.0968131720827588,0.00914055539949274,0.212821228637635,0.318068126938812
"GINM1",0.29418762463449,0.0973320722537841,0.0228796439324986,0.0856343361572058,0.1827999694302
"EIF2AK2",0.189388791615733,0.0663350002259865,0.0573945653312786,0.0855203452126582,0.0397827562944032
"PUM2",0.284211432848156,0.0828069547945615,0.0886500452943955,0.21303061609629,0.298418058238582
"ZFR",0.229488265820477,0.133514731343682,0.217583429005825,0.320030241083188,0.0121544433147101
"IL17RB",0.0692464227674107,0.0408468949889782,0.0225307950609716,0.092630919135205,0.0331918678721594
"GYG2",0.11542087147043,0.0816974820283844,0.0442535007114158,0.00373960796228526,0.0375851941438382
"SOAT1",0.0142570629389913,0.02569693943327,0.00577587796224496,0.0022082758220673,0.0666379960897262
"GDI2",0.317958605816374,0.0411199592500508,0.0133737572310217,0.026781879855323,0.197063584537989
"ATG5",0.0454807042985529,0.00126213442576271,0.00937289038614981,0.0533781616611081,0.0327171327628411
"PITHD1",0.663714205957193,0.227432236849781,0.0158512217970717,0.0426260309487051,0.0673696117478643
"ATP11B",0.0350339298319159,0.0135800752285088,0.00610391480317797,0.0148558113562546,0.0595916671226445
"LAMC2",0.0497617864112695,0.00681248635009987,0.0264983025694359,0.0053666901747506,0.00927635144207318
"SEC61A1",0.300525167923032,0.00282098397463494,0.0636771939415008,0.079526617285636,0.0753094625503947
"ATP2B4",0.176490056274283,0.0894319796729085,0.0187970988522635,0.211549383949232,0.162115866390663
"YIPF1",0.0100175602695494,0.214576021807773,0.145889740034781,0.0317585154836476,0.0969371987922028
"NDC1",0.0992345072484669,0.0179167659541483,0.00793225211779964,0.0228049428454251,0.112798495050474
"ALDH18A1",0.20056788866178,0.0411939140519163,0.076553271411875,0.150832353414846,0.0217590524037139
"YBX3",0.0614151689362013,0.00467586173706906,0.0145637185715111,0.000402814229407597,0.110910573404453
"WNK1",0.164701605355204,0.0783477918187127,0.0542906787840845,0.0412758696516415,0.22107362957943
